Cluster,RNA Sequence
Cluster 11328,rna-NM_001277822.2.7
Cluster 11329,rna-XM_425663.6.26
Cluster 11330,rna-NM_001030798.2.2
Cluster 11331,rna-XM_030286086.3.26
Cluster 11332,rna-XM_030274020.3.6
Cluster 11333,rna-XM_030289563.3.64
Cluster 11334,rna-XM_002196205.4.32
Cluster 11335,rna-NM_001245472.1.16
Cluster 11336,rna-NM_001318452.2.75
Cluster 11337,rna-NM_204626.2.42
Cluster 11338,rna-XM_427542.8.83191
Cluster 11339,rna-XM_418112.8.57
Cluster 11340,rna-XM_004947678.5.51
Cluster 11341,rna-NM_001396107.1.1
Cluster 11342,rna-NM_001030363.2.4
Cluster 11343,rna-XM_415839.7.18
Cluster 11344,rna-XM_040698213.2.3
Cluster 11345,rna-NM_001396614.1.22
Cluster 11346,rna-XM_003640811.6.1
Cluster 11347,rna-XM_015291592.4.12
Cluster 11348,rna-NM_001012943.2.3
Cluster 11349,rna-XM_041716446.1.45
Cluster 11350,rna-XM_041711579.1.83
Cluster 11351,rna-XM_041719540.1.1193
Cluster 11352,rna-XM_046941672.1.5
Cluster 11353,rna-NM_001006564.3.111
Cluster 11354,rna-XM_015298773.4.59
Cluster 11355,rna-NM_001277686.1.75
Cluster 11356,rna-XM_025153116.3.4
Cluster 11357,rna-NM_001080893.2.18
Cluster 11358,rna-XM_015280427.4.54
Cluster 11359,rna-XM_419025.8.1
Cluster 11360,rna-NM_001277728.2.2
Cluster 11361,rna-XM_003643812.6.57
Cluster 11362,rna-XM_001234638.5.9
Cluster 11363,rna-NM_001006451.2.97
Cluster 11364,rna-NM_001277420.2.1
Cluster 11365,rna-XM_419614.8.20
Cluster 11366,rna-NM_001199532.2.48
Cluster 11367,rna-XM_417762.8.51
Cluster 11368,rna-NM_001199326.2.2
Cluster 11369,rna-NM_001012403.2.14852
Cluster 11370,rna-XM_025151916.3.9
Cluster 11371,rna-XM_030289276.3.46
Cluster 11372,rna-XM_041718099.1.12
Cluster 11373,rna-XM_012576043.4.42
Cluster 11374,rna-XM_002199711.6.23
Cluster 11375,rna-XM_030291834.3.56
Cluster 11376,rna-XM_012569572.4.20
Cluster 11377,rna-XM_030269490.3.2
Cluster 11378,rna-XM_002189728.6.53
Cluster 11379,rna-XM_030288043.3.27
Cluster 11380,rna-XM_002194011.5.26
Cluster 11381,rna-XM_030285351.3.26
Cluster 11382,rna-XM_046937940.1.1
Cluster 11383,rna-NM_001277361.2.9
Cluster 11384,rna-XM_420681.7.7
Cluster 11385,rna-NM_001199656.2.5
Cluster 11386,rna-XM_040650036.2.18
Cluster 11387,rna-XM_418600.5.1
Cluster 11388,rna-NM_001318404.1.111
Cluster 11389,rna-NM_001277661.2.39
Cluster 11390,rna-XM_001232406.6.2
Cluster 11391,rna-NM_205142.2.27
Cluster 11392,rna-XM_001233301.7.6
Cluster 11393,rna-XM_030280257.3.12
Cluster 11394,rna-XM_030290978.3.31
Cluster 11395,rna-XM_030259549.3.75
Cluster 11396,rna-XM_030287965.3.91
Cluster 11397,rna-XM_030257431.3.7
Cluster 11398,rna-XM_030279011.3.9
Cluster 11399,rna-XM_041712803.1.172
Cluster 11400,rna-XM_041712151.1.125
Cluster 11401,rna-XM_001235446.6.39
Cluster 11402,rna-XM_015281997.4.1
Cluster 11403,rna-NM_204507.2.18
Cluster 11404,rna-NM_001005823.2.14
Cluster 11405,rna-XM_015283755.4.39
Cluster 11406,rna-NM_001006219.2.18
Cluster 11407,rna-NM_001389299.2.18
Cluster 11408,rna-NM_001006491.2.5
Cluster 11409,rna-XM_040706842.2.372
Cluster 11410,rna-NM_001031556.3.9
Cluster 11411,rna-NM_001277907.2.28
Cluster 11412,rna-NM_001045842.2.8
Cluster 11413,rna-XM_001234191.7.6
Cluster 11414,rna-NM_001198637.2.37
Cluster 11415,rna-XM_420717.8.7
Cluster 11416,rna-NM_001277541.2.21
Cluster 11417,rna-NM_001278018.2.28
Cluster 11418,rna-NM_001257294.2.118
Cluster 11419,rna-NM_001277796.2.83
Cluster 11420,rna-XM_030291367.3.95
Cluster 11421,rna-XM_032748462.2.6
Cluster 11422,rna-XM_030262189.3.566
Cluster 11423,rna-XM_030285353.3.26
Cluster 11424,rna-XM_041714131.1.503
Cluster 11425,rna-XM_002187530.5.2
Cluster 11426,rna-NM_001006531.2.10
Cluster 11427,rna-NM_001397336.1.555
Cluster 11428,rna-NM_001012550.2.57
Cluster 11429,rna-NM_001282331.2.51
Cluster 11430,rna-NM_001277498.2.1
Cluster 11431,rna-NM_204933.4.9055
Cluster 11432,rna-XM_424882.8.54
Cluster 11433,rna-XM_025149353.3.36
Cluster 11434,rna-NM_001358929.2.544
Cluster 11435,rna-XM_041715087.1.2
Cluster 11436,rna-XM_030291751.3.56
Cluster 11437,rna-XM_041715074.1.5
Cluster 11438,rna-XM_041713586.1.4
Cluster 11439,rna-XM_030275764.3.8
Cluster 11440,rna-XM_030280343.3.32
Cluster 11441,rna-XM_030291044.3.31
Cluster 11442,rna-XM_041717688.1.11
Cluster 11443,rna-XM_015281501.3.1
Cluster 11444,rna-XM_015297185.4.89
Cluster 11445,rna-XM_015297736.4.118
Cluster 11446,rna-NM_001012771.3.14
Cluster 11447,rna-NM_001395912.1.31
Cluster 11448,rna-NM_001293226.2.31
Cluster 11449,rna-XM_046904400.1.57
Cluster 11450,rna-NM_001031359.3.15
Cluster 11451,rna-XM_025142938.3.58
Cluster 11452,rna-XM_417753.8.51
Cluster 11453,rna-XM_003642480.6.27
Cluster 11454,rna-NM_001276324.1.22
Cluster 11455,rna-XM_030287985.3.27
Cluster 11456,rna-XM_002191909.5.12
Cluster 11457,rna-XM_002197334.6.4
Cluster 11458,rna-XM_041721262.1.56
Cluster 11459,rna-XM_041711580.1.83
Cluster 11460,rna-NM_001006305.3.58
Cluster 11461,rna-XM_046900178.1.13
Cluster 11462,rna-NM_001282172.2.16
Cluster 11463,rna-NM_001305065.2.18
Cluster 11464,rna-XM_015292858.4.13
Cluster 11465,rna-NM_001305796.3.111
Cluster 11466,rna-XM_004942312.4.9
Cluster 11467,rna-XM_040651399.2.24298
Cluster 11468,rna-NM_001277603.2.30
Cluster 11469,rna-XM_041711919.1.122
Cluster 11470,rna-XM_030274678.3.6
Cluster 11471,rna-NM_001245156.1.44
Cluster 11472,rna-XM_041712581.1.530
Cluster 11473,rna-XM_030279369.3.9
Cluster 11474,rna-XM_015287555.4.5
Cluster 11475,rna-NM_001006350.3.1
Cluster 11476,rna-XM_420732.8.7
Cluster 11477,rna-NM_001030652.2.50
Cluster 11478,rna-XM_001233591.7.51
Cluster 11479,rna-NM_001012571.2.83
Cluster 11480,rna-XM_015297581.4.51
Cluster 11481,rna-XM_025155799.3.4
Cluster 11482,rna-XM_015295972.4.34
Cluster 11483,rna-XM_041719451.1.26
Cluster 11484,rna-XM_030283303.3.13
Cluster 11485,rna-XM_002200492.6.6
Cluster 11486,rna-XM_002192620.5.27
Cluster 11487,rna-XM_003640934.6.110
Cluster 11488,rna-NM_001030975.2.1
Cluster 11489,rna-NM_001006211.3.18
Cluster 11490,rna-NM_001030907.2.51
Cluster 11491,rna-XM_416894.7.11
Cluster 11492,rna-XM_003640800.6.1
Cluster 11493,rna-XM_040705028.2.10
Cluster 11494,rna-XM_420297.8.33
Cluster 11495,rna-XM_040660240.2.194
Cluster 11496,rna-XM_030288779.3.18
Cluster 11497,rna-XM_041718275.1.5
Cluster 11498,rna-XM_002196914.5.5
Cluster 11499,rna-XM_030291448.3.62
Cluster 11500,rna-XM_002195834.5.44
Cluster 11501,rna-XM_040653727.1.84
Cluster 11502,rna-XM_025149988.3.7
Cluster 11503,rna-NM_205225.2.6
Cluster 11504,rna-XM_046898864.1.12
Cluster 11505,rna-XM_015279539.4.2
Cluster 11506,rna-NM_205385.3.67
Cluster 11507,rna-XM_001233760.7.84
Cluster 11508,rna-XM_004943303.4.10
Cluster 11509,rna-XM_418400.8.1
Cluster 11510,rna-XM_015302009.4.2
Cluster 11511,rna-NM_001389455.2.1
Cluster 11512,rna-XM_015297035.4.78
Cluster 11513,rna-XM_025144512.3.320
Cluster 11514,rna-NM_001031058.1.39
Cluster 11515,rna-XM_040655685.1.6
Cluster 11516,rna-XM_040649875.2.28
Cluster 11517,rna-XM_004948483.4.85
Cluster 11518,rna-XM_040678622.2.1
Cluster 11519,rna-NM_204765.1.167
Cluster 11520,rna-XM_041712869.1.149
Cluster 11521,rna-XM_002200405.6.6
Cluster 11522,rna-XM_030282162.3.20
Cluster 11523,rna-XM_030270041.3.2
Cluster 11524,rna-XM_030258754.3.22
Cluster 11525,rna-XM_002197475.6.6
Cluster 11526,rna-XM_030287423.3.29
Cluster 11527,rna-XM_012575232.4.21
Cluster 11528,rna-XM_424479.8.100
Cluster 11529,rna-NM_001113741.2.18
Cluster 11530,rna-NM_001305054.2.34
Cluster 11531,rna-NM_001007913.2.76
Cluster 11532,rna-XM_004948216.5.111
Cluster 11533,rna-XM_040700477.2.7
Cluster 11534,rna-XM_015274261.4.2
Cluster 11535,rna-NM_001031468.2.15
Cluster 11536,rna-XM_015282603.4.1
Cluster 11537,rna-NM_205451.1.67
Cluster 11538,rna-XM_015295771.4.18
Cluster 11539,rna-XM_015294585.4.15
Cluster 11540,rna-XM_040674082.2.1
Cluster 11541,rna-NM_204613.2.38
Cluster 11542,rna-XM_426702.6.12
Cluster 11543,rna-NM_001006452.2.24
Cluster 11544,rna-XM_030276234.3.8
Cluster 11545,rna-XM_030261290.3.4
Cluster 11546,rna-XM_002200410.4.6
Cluster 11547,rna-XM_041713899.1.10
Cluster 11548,rna-XM_030288726.3.18
Cluster 11549,rna-XM_030283847.3.5
Cluster 11550,rna-NM_001031477.2.18
Cluster 11551,rna-NM_001398328.1.163
Cluster 11552,rna-XM_015279740.4.2
Cluster 11553,rna-XM_015279153.4.173
Cluster 11554,rna-XM_001232466.7.52
Cluster 11555,rna-XM_015291307.4.10
Cluster 11556,rna-NM_001007839.1.22
Cluster 11557,rna-XM_015297992.4.52
Cluster 11558,rna-NM_204193.2.42
Cluster 11559,rna-NM_001277439.2.5
Cluster 11560,rna-NM_001031114.2.130
Cluster 11561,rna-NM_001293098.3.17
Cluster 11562,rna-XM_420160.8.83
Cluster 11563,rna-XM_025151664.3.9
Cluster 11564,rna-XM_423728.7.86
Cluster 11565,rna-NM_204801.1.5
Cluster 11566,rna-XM_004947560.5.58
Cluster 11567,rna-XM_030270502.3.3
Cluster 11568,rna-XM_030286087.3.26
Cluster 11569,rna-XM_041715574.1.3
Cluster 11570,rna-XM_041712994.1.221
Cluster 11571,rna-XM_030288917.3.18
Cluster 11572,rna-XM_418845.8.45
Cluster 11573,rna-XM_421207.8.5
Cluster 11574,rna-XM_415451.8.17
Cluster 11575,rna-NM_001006345.3.1
Cluster 11576,rna-XM_040650456.2.18
Cluster 11577,rna-XM_418182.6.70
Cluster 11578,rna-NM_001159425.3.5
Cluster 11579,rna-NM_001389365.2.5
Cluster 11580,rna-XM_015288139.4.48
Cluster 11581,rna-NM_001012920.5.8
Cluster 11582,rna-XM_046900963.1.15
Cluster 11583,rna-NM_001277443.2.5
Cluster 11584,rna-XM_015280417.4.54
Cluster 11585,rna-NM_001201487.3.10
Cluster 11586,rna-XM_004937676.5.4
Cluster 11587,rna-NM_204225.2.76
Cluster 11588,rna-XM_030256134.3.70
Cluster 11589,rna-XM_030278196.3.25
Cluster 11590,rna-XM_030273500.3.45
Cluster 11591,rna-XM_030284227.3.21
Cluster 11592,rna-XM_040685575.2.1
Cluster 11593,rna-XM_015294944.4.207
Cluster 11594,rna-NM_206991.2.12
Cluster 11595,rna-NM_001030848.2.139
Cluster 11596,rna-XM_015278207.4.30
Cluster 11597,rna-XM_015281999.4.1
Cluster 11598,rna-NM_204990.2.73
Cluster 11599,rna-NM_001277724.3.32
Cluster 11600,rna-NM_001030930.1.57
Cluster 11601,rna-XM_040695834.2.1
Cluster 11602,rna-XM_015285615.4.7
Cluster 11603,rna-XM_001233972.7.28
Cluster 11604,rna-XM_040693390.2.1
Cluster 11605,rna-NM_001317737.2.52
Cluster 11606,rna-NM_001044682.2.30442
Cluster 11607,rna-XM_004935118.5.1
Cluster 11608,rna-NM_001199554.2.4
Cluster 11609,rna-NM_001277404.1.131
Cluster 11610,rna-NM_001006415.2.3
Cluster 11611,rna-NM_001199650.2.4
Cluster 11612,rna-XM_424129.8.1
Cluster 11613,rna-XM_002195629.6.16
Cluster 11614,rna-NM_001245328.1.13
Cluster 11615,rna-NM_001245302.2.4
Cluster 11616,rna-XM_030289316.3.46
Cluster 11617,rna-XM_041712503.1.490
Cluster 11618,rna-XM_015279537.4.17
Cluster 11619,rna-XM_004947521.5.78
Cluster 11620,rna-NM_001012935.2.16
Cluster 11621,rna-XM_015299468.4.57
Cluster 11622,rna-NM_204628.2.1
Cluster 11623,rna-NM_001006289.2.27
Cluster 11624,rna-XM_025149296.2.36
Cluster 11625,rna-XM_040652006.2.114
Cluster 11626,rna-XM_040648116.2.22
Cluster 11627,rna-XM_004948049.5.52
Cluster 11628,rna-XM_004942754.5.8
Cluster 11629,rna-XM_422158.8.8
Cluster 11630,rna-NM_001397321.1.71
Cluster 11631,rna-NM_001282271.2.6
Cluster 11632,rna-XM_004949341.5.54
Cluster 11633,rna-XM_417654.8.78
Cluster 11634,rna-XM_041712290.1.823
Cluster 11635,rna-XM_041719239.1.16
Cluster 11636,rna-XM_030273788.3.6
Cluster 11637,rna-NM_001006296.2.27
Cluster 11638,rna-XM_015276559.4.24
Cluster 11639,rna-XM_015281773.4.1
Cluster 11640,rna-NM_001079490.2.25
Cluster 11641,rna-NM_001277916.2.78
Cluster 11642,rna-NM_001277837.2.2
Cluster 11643,rna-NM_001006164.2.15
Cluster 11644,rna-XM_015277166.4.75
Cluster 11645,rna-XM_420062.8.40
Cluster 11646,rna-NM_001199618.2.1
Cluster 11647,rna-XM_003640591.6.2
Cluster 11648,rna-XM_004940682.5.30
Cluster 11649,rna-NM_001389381.2.67
Cluster 11650,rna-NM_001030836.2.104
Cluster 11651,rna-NM_204888.1.12
Cluster 11652,rna-NM_001277551.2.15
Cluster 11653,rna-XM_015273509.4.165
Cluster 11654,rna-XM_030278859.2.9
Cluster 11655,rna-XM_032752328.2.47
Cluster 11656,rna-XM_041714744.1.2
Cluster 11657,rna-NM_001245369.1.26
Cluster 11658,rna-XM_046900720.1.15
Cluster 11659,rna-NM_001030746.3.4
Cluster 11660,rna-NM_001030911.5.77
Cluster 11661,rna-NM_001031547.2.5
Cluster 11662,rna-NM_001397002.2.8
Cluster 11663,rna-XM_015280486.4.54
Cluster 11664,rna-XM_040654901.2.100
Cluster 11665,rna-NM_204287.3.52
Cluster 11666,rna-XM_417044.8.2
Cluster 11667,rna-XM_417511.8.27
Cluster 11668,rna-NM_001277375.2.9
Cluster 11669,rna-NM_001396288.1.22
Cluster 11670,rna-XM_015281019.4.104
Cluster 11671,rna-NM_001030813.2.11
Cluster 11672,rna-XM_041714607.1.14
Cluster 11673,rna-XM_041712069.1.33208
Cluster 11674,rna-XM_002198070.5.6
Cluster 11675,rna-XM_041713887.1.1
Cluster 11676,rna-NM_001031407.2.59
Cluster 11677,rna-XM_421233.7.5
Cluster 11678,rna-NM_001395913.1.14
Cluster 11679,rna-NM_001031312.3.75
Cluster 11680,rna-XM_046940223.1.7
Cluster 11681,rna-XM_015287675.4.5
Cluster 11682,rna-XM_040646575.2.13
Cluster 11683,rna-NM_001397729.1.1
Cluster 11684,rna-NM_204911.2.57
Cluster 11685,rna-XM_046901786.1.17
Cluster 11686,rna-XM_420710.8.7
Cluster 11687,rna-XM_040699307.2.7
Cluster 11688,rna-XM_015288707.4.9
Cluster 11689,rna-XM_015284561.4.3
Cluster 11690,rna-NM_001040120.2.22
Cluster 11691,rna-NM_001319024.3.1
Cluster 11692,rna-XM_030265294.3.105550
Cluster 11693,rna-XM_002199325.6.1
Cluster 11694,rna-XM_041711837.1.170
Cluster 11695,rna-XM_030289779.3.47
Cluster 11696,rna-NM_204409.2.17
Cluster 11697,rna-NM_001277678.2.16
Cluster 11698,rna-XM_046938193.1.1
Cluster 11699,rna-NM_001278136.2.67
Cluster 11700,rna-XM_015277588.4.6
Cluster 11701,rna-XM_415152.8.22
Cluster 11702,rna-XM_415263.7.22
Cluster 11703,rna-NM_204761.1.75
Cluster 11704,rna-XM_004935153.5.1
Cluster 11705,rna-NM_001030812.2.11
Cluster 11706,rna-NM_206844.2.23
Cluster 11707,rna-NM_001199658.2.5
Cluster 11708,rna-NM_001252285.2.77
Cluster 11709,rna-XM_040654816.2.100
Cluster 11710,rna-XM_004949523.5.29
Cluster 11711,rna-NM_204599.2.38
Cluster 11712,rna-NM_001301686.2.37
Cluster 11713,rna-NM_001031075.3.3
Cluster 11714,rna-XM_041716501.1.6
Cluster 11715,rna-XM_041712614.1.104
Cluster 11716,rna-XM_001233761.7.23
Cluster 11717,rna-XM_015295984.4.18
Cluster 11718,rna-XM_421599.8.9
Cluster 11719,rna-NM_001030339.3.5
Cluster 11720,rna-NM_001293108.1.127
Cluster 11721,rna-XM_426411.7.145
Cluster 11722,rna-NM_001398124.1.76
Cluster 11723,rna-XM_418373.8.1
Cluster 11724,rna-XM_046901266.1.22
Cluster 11725,rna-NM_001044668.2.82
Cluster 11726,rna-XM_015281937.4.1
Cluster 11727,rna-NM_001030698.2.28
Cluster 11728,rna-NM_001031773.1.90
Cluster 11729,rna-XM_030256013.3.63
Cluster 11730,rna-XM_041711951.1.186
Cluster 11731,rna-XM_030287134.3.29
Cluster 11732,rna-NM_001030689.3.17
Cluster 11733,rna-XM_040700951.2.5
Cluster 11734,rna-NM_001277590.2.10
Cluster 11735,rna-NM_001031411.4.6
Cluster 11736,rna-XM_420773.7.7
Cluster 11737,rna-XM_421753.8.9
Cluster 11738,rna-XM_001232150.7.82
Cluster 11739,rna-NM_001006340.2.70
Cluster 11740,rna-XM_423253.8.2
Cluster 11741,rna-NM_001007905.3.20
Cluster 11742,rna-XM_419710.8.23
Cluster 11743,rna-XM_002196956.6.4
Cluster 11744,rna-XM_002191280.5.24
Cluster 11745,rna-XM_030286548.3.24
Cluster 11746,rna-XM_030285027.3.16
Cluster 11747,rna-XM_030279885.3.12
Cluster 11748,rna-XM_004175976.4.5
Cluster 11749,rna-XM_001235092.6.4
Cluster 11750,rna-NM_001030946.2.1
Cluster 11751,rna-XM_040695730.2.1
Cluster 11752,rna-NM_001012293.3.8
Cluster 11753,rna-XM_004940932.5.46
Cluster 11754,rna-NM_205223.2.5
Cluster 11755,rna-XM_015299974.4.84
Cluster 11756,rna-NM_204505.1.21
Cluster 11757,rna-XM_414405.8.13
Cluster 11758,rna-XM_003641279.6.116
Cluster 11759,rna-XM_420035.8.40
Cluster 11760,rna-NM_001396350.1.22
Cluster 11761,rna-XM_030289960.3.4
Cluster 11762,rna-XM_041713021.1.151
Cluster 11763,rna-XM_030289906.3.47
Cluster 11764,rna-XM_030269086.3.2
Cluster 11765,rna-XM_030276532.3.8
Cluster 11766,rna-XM_030290137.3.47
Cluster 11767,rna-XM_030284501.3.16
Cluster 11768,rna-XM_416851.8.2
Cluster 11769,rna-NM_001030780.2.34
Cluster 11770,rna-XM_003641762.6.12
Cluster 11771,rna-XM_417174.8.2
Cluster 11772,rna-XM_001231998.7.146
Cluster 11773,rna-XM_046903726.1.52
Cluster 11774,rna-NM_001080718.2.51
Cluster 11775,rna-XM_001231332.7.115
Cluster 11776,rna-NM_001277567.2.3
Cluster 11777,rna-XM_015296283.4.87
Cluster 11778,rna-NM_001199458.2.4
Cluster 11779,rna-XM_030277778.3.11
Cluster 11780,rna-XM_030290240.3.57
Cluster 11781,rna-XM_041713645.1.30
Cluster 11782,rna-XM_002199795.4.6
Cluster 11783,rna-XM_041718189.1.12
Cluster 11784,rna-XM_032747157.2.1
Cluster 11785,rna-XM_030275747.3.38
Cluster 11786,rna-XM_032744862.2.7
Cluster 11787,rna-XM_041721131.1.1624
Cluster 11788,rna-NM_001389454.2.36
Cluster 11789,rna-XM_046938525.1.3
Cluster 11790,rna-NM_001396188.1.24
Cluster 11791,rna-NM_001278069.2.67
Cluster 11792,rna-NM_001389575.2.146
Cluster 11793,rna-XM_046940154.1.11
Cluster 11794,rna-XM_423237.8.84
Cluster 11795,rna-XM_015300231.4.2
Cluster 11796,rna-NM_001277599.2.68
Cluster 11797,rna-NM_001245197.1.15
Cluster 11798,rna-XM_030279798.3.53
Cluster 11799,rna-XM_041712074.1.41320
Cluster 11800,rna-XM_041712001.1.4
Cluster 11801,rna-XM_041721304.1.56
Cluster 11802,rna-XM_030259554.3.83
Cluster 11803,rna-NM_001277857.2.8
Cluster 11804,rna-XM_419587.8.20
Cluster 11805,rna-XM_015279232.4.21
Cluster 11806,rna-XM_046931393.1.45
Cluster 11807,rna-XM_015277169.4.12
Cluster 11808,rna-XM_429403.8.19
Cluster 11809,rna-XM_417408.8.38
Cluster 11810,rna-NM_001012860.3.41
Cluster 11811,rna-XM_015294232.4.15
Cluster 11812,rna-XM_420270.7.106
Cluster 11813,rna-XM_041712441.1.2279
Cluster 11814,rna-XM_041720199.1.18
Cluster 11815,rna-XM_030260818.3.98
Cluster 11816,rna-NM_001245595.2.4
Cluster 11817,rna-XM_041714436.1.1
Cluster 11818,rna-XM_041719765.1.24
Cluster 11819,rna-XM_041713061.1.9766
Cluster 11820,rna-XM_416920.8.11
Cluster 11821,rna-XM_004948061.5.77
Cluster 11822,rna-NM_001278120.2.77
Cluster 11823,rna-XM_040691163.2.1
Cluster 11824,rna-XM_004935486.5.20
Cluster 11825,rna-NM_001252278.4.4
Cluster 11826,rna-XM_046903281.1.78
Cluster 11827,rna-XM_046902053.1.76
Cluster 11828,rna-XM_004941160.5.117
Cluster 11829,rna-XM_041717491.1.68
Cluster 11830,rna-XM_012570515.4.47
Cluster 11831,rna-XM_030281056.3.40
Cluster 11832,rna-XM_001233893.6.12
Cluster 11833,rna-XM_015297673.4.51
Cluster 11834,rna-XM_003642207.5.22
Cluster 11835,rna-XM_025149580.3.43
Cluster 11836,rna-XM_424268.8.57
Cluster 11837,rna-XM_420371.8.43
Cluster 11838,rna-XM_422206.8.32
Cluster 11839,rna-NM_001277901.2.5
Cluster 11840,rna-XM_421192.8.5
Cluster 11841,rna-XM_419994.8.40
Cluster 11842,rna-XM_003641249.6.7
Cluster 11843,rna-NM_001276388.2.25
Cluster 11844,rna-XM_046900498.1.60
Cluster 11845,rna-XM_414809.8.15
Cluster 11846,rna-XM_041717032.1.8
Cluster 11847,rna-XM_030267544.3.2
Cluster 11848,rna-XM_030288946.3.18
Cluster 11849,rna-XM_041711839.1.92
Cluster 11850,rna-XM_030259556.3.75
Cluster 11851,rna-XM_032748157.2.3
Cluster 11852,rna-NM_001277622.1.106
Cluster 11853,rna-XM_015297478.4.152
Cluster 11854,rna-XM_426425.7.5
Cluster 11855,rna-NM_001007884.2.85
Cluster 11856,rna-XM_414533.8.19
Cluster 11857,rna-NM_001277642.2.10
Cluster 11858,rna-XM_418967.7.1
Cluster 11859,rna-NM_205327.2.53
Cluster 11860,rna-XM_040695898.2.1
Cluster 11861,rna-XM_015272599.4.11241
Cluster 11862,rna-NM_001030987.4.1
Cluster 11863,rna-XM_003642972.6.6
Cluster 11864,rna-XM_040698649.1.2
Cluster 11865,rna-XM_030289397.3.46
Cluster 11866,rna-XM_041712988.1.151
Cluster 11867,rna-XM_002190430.4.2
Cluster 11868,rna-XM_030255889.3.63
Cluster 11869,rna-NM_001007834.2.15
Cluster 11870,rna-XM_001233656.7.1
Cluster 11871,rna-NM_001006324.3.127
Cluster 11872,rna-NM_204825.2.2
Cluster 11873,rna-XM_015282385.4.1
Cluster 11874,rna-XM_003642058.6.19
Cluster 11875,rna-XM_001232058.7.42
Cluster 11876,rna-XM_015297406.4.58
Cluster 11877,rna-XM_416953.8.2
Cluster 11878,rna-XM_418973.8.1
Cluster 11879,rna-XM_015296319.4.38
Cluster 11880,rna-XM_046903755.1.52
Cluster 11881,rna-XM_046942102.1.2
Cluster 11882,rna-XM_002194764.6.4
Cluster 11883,rna-XM_030273753.3.6
Cluster 11884,rna-XM_041712955.1.151
Cluster 11885,rna-NM_205073.2.8
Cluster 11886,rna-NM_205466.3.1
Cluster 11887,rna-NM_001008466.2.7
Cluster 11888,rna-NM_001391918.1.130
Cluster 11889,rna-XM_004942356.5.9
Cluster 11890,rna-NM_001293174.1.22
Cluster 11891,rna-NM_001165912.1.4
Cluster 11892,rna-NM_001031092.2.3
Cluster 11893,rna-XM_426552.7.35
Cluster 11894,rna-XM_032745529.2.74
Cluster 11895,rna-XM_041719467.1.26
Cluster 11896,rna-XM_041720224.1.18
Cluster 11897,rna-XM_030277630.3.11
Cluster 11898,rna-XM_030270503.3.3
Cluster 11899,rna-XM_012571260.4.37
Cluster 11900,rna-XM_041721568.1.67
Cluster 11901,rna-XM_012574687.4.8
Cluster 11902,rna-XM_030280935.3.48
Cluster 11903,rna-XM_002189066.6.9
Cluster 11904,rna-XM_046904519.1.70
Cluster 11905,rna-NM_001277762.2.2
Cluster 11906,rna-XM_004935955.5.79
Cluster 11907,rna-XM_015289314.4.35
Cluster 11908,rna-XM_015297554.3.121
Cluster 11909,rna-XM_046900017.1.13
Cluster 11910,rna-XM_415873.8.18
Cluster 11911,rna-XM_015282972.4.1
Cluster 11912,rna-XM_040656322.2.6
Cluster 11913,rna-NM_001305576.2.19
Cluster 11914,rna-NM_001007871.2.38
Cluster 11915,rna-NM_001286248.2.5
Cluster 11916,rna-NM_001277767.2.2
Cluster 11917,rna-XM_030258108.3.7
Cluster 11918,rna-XM_012568704.4.27
Cluster 11919,rna-NM_001097646.2.4
Cluster 11920,rna-NM_204443.2.17
Cluster 11921,rna-XM_040699038.2.7
Cluster 11922,rna-XM_025155247.3.15
Cluster 11923,rna-NM_001394391.1.12
Cluster 11924,rna-XM_015289240.4.4
Cluster 11925,rna-NM_001039564.2.105
Cluster 11926,rna-XM_040654878.2.362
Cluster 11927,rna-NM_001252123.2.57
Cluster 11928,rna-NM_001040643.1.4
Cluster 11929,rna-NM_204198.3.1
